Date,Open,High,Low,Close,Adj Close,Volume
03-01-2000,207.4,217.25,207.4,216.75,217,676126
04-01-2000,217,219,206,208.2,211.9,679215
05-01-2000,194,217.8,194,213.25,213.1,1120951
06-01-2000,215,229.9,215,222.1,222,1968998
07-01-2000,224,239.9,223.1,239.9,239.9,2199431
10-01-2000,259,259.1,248,258.85,259.1,1720542
11-01-2000,260,260,238.15,238.15,238.15,1207916
12-01-2000,240,246,229,240.25,242.45,938579
13-01-2000,243,245,231.6,235.45,233,565754
14-01-2000,234.95,243,233,239.05,239.8,1024725
17-01-2000,242.95,258.1,242.95,250.65,251,1482994
18-01-2000,251,252.5,245.05,248,250,792347
19-01-2000,251,257.9,242.6,250.5,249.5,1221042
20-01-2000,250,250,233.6,235.7,234,557949
21-01-2000,230.1,233.8,225.5,232.2,231.1,696339
24-01-2000,230,235.9,213.65,213.65,213.65,1125168
25-01-2000,200.35,204.9,196.6,196.6,196.6,706121
27-01-2000,190,193,180.9,180.9,180.9,1728526
28-01-2000,171,182,168.35,175.2,175,2671887
31-01-2000,171.15,188.7,170.05,179.7,178.6,2850688
01-02-2000,179.9,184.9,172.1,175.3,176.1,1206216
02-02-2000,184,186.9,178.35,180.1,179.95,896220
03-02-2000,180,181.75,176.75,177.35,177.7,390462
04-02-2000,179,179.95,172.8,178.95,179.5,805045
07-02-2000,178.1,182.5,175.35,177.8,178,472973
08-02-2000,179,184.9,176.5,180.6,180.25,671633
09-02-2000,186,192,182,183.65,183.1,851000
10-02-2000,184.9,184.9,180,181.1,180.5,276973
11-02-2000,183.9,184.8,167.05,169.75,167.05,787181
14-02-2000,170,170,156.2,157.8,157.3,700837
15-02-2000,158.05,169,156,165.8,166,984192
16-02-2000,171.8,171.8,164.15,164.85,164.35,316694
17-02-2000,165,172,163.6,166.35,167,352975
18-02-2000,166,167,153.05,154.2,153.05,526451
21-02-2000,150,166.55,150,166.55,166.55,672967
22-02-2000,173.9,179.9,170.3,179.9,179.9,635878
23-02-2000,189.9,194,166.25,168.05,167.05,1254749
24-02-2000,170.9,174.9,165.95,170.25,169.3,469287
25-02-2000,174.45,183.9,166.55,182.9,183.9,892722
28-02-2000,184,184,174.1,181.05,182.3,651357
29-02-2000,180.05,183.4,166.6,166.6,166.6,835041
01-03-2000,167,172,154,157.6,160.7,1464975
02-03-2000,163,163.75,145.75,146.8,146.5,1313217
03-03-2000,137,141.9,135.1,135.1,135.25,1222358
06-03-2000,139.9,145.95,136.1,138.75,139.1,1705044
07-03-2000,130,139.6,130,132.1,131,1087675
08-03-2000,134,134.1,125,127.5,127.9,597334
09-03-2000,128,137.7,126.2,137.7,137.7,658855
10-03-2000,130,140,127.25,129.4,129.3,674480
13-03-2000,131.9,133.4,119.55,120.35,120.75,673380
14-03-2000,122.8,130,119.8,130,130,842598
15-03-2000,135,139.3,130,135.2,133.75,773900
16-03-2000,136,146.05,134,145.4,146,1108152
21-03-2000,143,153,135.25,149.55,148.6,1018963
22-03-2000,153,153.5,142.5,146.55,145.5,735518
23-03-2000,147,147.5,135.5,136.2,136.4,428079
24-03-2000,131.2,136.85,131.2,135.25,135.6,310258
27-03-2000,135,137.8,133.15,135.35,136,295252
28-03-2000,134.25,137,130.15,133.5,133.1,567466
29-03-2000,135.25,139.9,133,134.9,136,896538
30-03-2000,133.55,133.65,124.15,126.75,126.4,894430
31-03-2000,124.3,136.9,121.5,136.3,136,1010408
03-04-2000,138,145.9,135,142.7,138.9,1677659
04-04-2000,141,141,131.3,131.3,131.3,641572
05-04-2000,126.5,136,125.25,133.55,132,517712
06-04-2000,133.1,136,122.9,128.7,128.45,610757
07-04-2000,130.8,139,129,138.8,139,969387
10-04-2000,139,144.85,135.1,139.65,139.9,1220619
11-04-2000,137,141,132.2,137.95,137,548760
12-04-2000,140,140,134,135.25,134,465795
13-04-2000,128,134.95,124.5,129,129.5,877606
